                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00648,                      1,                      1,                0.55199,             0.00023701,             0.00023701,             0.00023701
                      2,                0.02505,                0.98544,                      1,                0.56107,             0.00047031,             0.00047031,             0.00047031
                      3,                0.06239,                0.92233,                      1,                0.62249,             0.00069889,             0.00069889,             0.00069889
                      4,                0.10137,                0.99029,                      1,                0.56032,             0.00069279,             0.00069279,             0.00069279
                      5,                0.11416,                0.96602,                      1,                0.58671,             0.00068573,             0.00068573,             0.00068573
                      6,                0.04764,                      1,                      1,                0.55269,             0.00067866,             0.00067866,             0.00067866
                      7,                0.05357,                0.99029,                      1,                0.56491,             0.00067159,             0.00067159,             0.00067159
                      8,                0.02685,                      1,                      1,                0.55231,             0.00066452,             0.00066452,             0.00066452
                      9,                0.03056,                0.99515,                      1,                0.55476,             0.00065745,             0.00065745,             0.00065745
                     10,                0.02237,                      1,                      1,                0.55252,             0.00065038,             0.00065038,             0.00065038
                     11,                0.02413,                0.98544,                      1,                0.56164,             0.00064331,             0.00064331,             0.00064331
                     12,                0.01162,                0.99029,                      1,                0.56394,             0.00063625,             0.00063625,             0.00063625
                     13,                 0.0218,                0.99515,                      1,                0.55992,             0.00062918,             0.00062918,             0.00062918
                     14,                0.01509,                      1,                      1,                0.55303,             0.00062211,             0.00062211,             0.00062211
                     15,                 0.0413,                0.99029,                      1,                0.56477,             0.00061504,             0.00061504,             0.00061504
                     16,                0.02341,                0.98544,                      1,                0.56708,             0.00060797,             0.00060797,             0.00060797
                     17,                0.01499,                0.99029,                      1,                0.56392,              0.0006009,              0.0006009,              0.0006009
                     18,                0.01143,                0.99515,                      1,                0.55533,             0.00059383,             0.00059383,             0.00059383
                     19,                0.01733,                0.99515,                      1,                0.55839,             0.00058677,             0.00058677,             0.00058677
                     20,                0.03536,                0.99515,                      1,                0.55435,              0.0005797,              0.0005797,              0.0005797
                     21,                0.01311,                0.99515,                      1,                0.55712,             0.00057263,             0.00057263,             0.00057263
                     22,                0.00902,                      1,                      1,                0.55303,             0.00056556,             0.00056556,             0.00056556
                     23,                0.02504,                0.99029,                      1,                0.55847,             0.00055849,             0.00055849,             0.00055849
                     24,                0.02565,                0.98544,                      1,                0.56512,             0.00055142,             0.00055142,             0.00055142
                     25,                0.00625,                0.99029,                      1,                0.56027,             0.00054435,             0.00054435,             0.00054435
                     26,                0.02466,                0.98544,                      1,                0.56466,             0.00053728,             0.00053728,             0.00053728
                     27,                0.00365,                0.99515,                      1,                0.55865,             0.00053022,             0.00053022,             0.00053022
                     28,                0.00578,                0.99029,                      1,                0.55888,             0.00052315,             0.00052315,             0.00052315
                     29,                0.00952,                0.99515,                      1,                0.55815,             0.00051608,             0.00051608,             0.00051608
                     30,                0.01944,                      1,                      1,                0.55163,             0.00050901,             0.00050901,             0.00050901
                     31,                0.01338,                      1,                      1,                0.55246,             0.00050194,             0.00050194,             0.00050194
                     32,                0.02443,                      1,                      1,                0.55403,             0.00049487,             0.00049487,             0.00049487
                     33,                0.00749,                0.98058,                      1,                0.56667,              0.0004878,              0.0004878,              0.0004878
                     34,                0.01019,                0.98544,                      1,                0.56137,             0.00048074,             0.00048074,             0.00048074
                     35,                 0.0086,                0.99515,                      1,                0.55565,             0.00047367,             0.00047367,             0.00047367
                     36,                0.00688,                      1,                      1,                 0.5524,              0.0004666,              0.0004666,              0.0004666
                     37,                0.01001,                      1,                      1,                0.55466,             0.00045953,             0.00045953,             0.00045953
                     38,                0.01676,                0.99515,                      1,                0.55577,             0.00045246,             0.00045246,             0.00045246
                     39,                0.02153,                      1,                      1,                0.55273,             0.00044539,             0.00044539,             0.00044539
                     40,                 0.0136,                0.99029,                      1,                0.55903,             0.00043832,             0.00043832,             0.00043832
                     41,                0.02091,                      1,                      1,                0.55299,             0.00043126,             0.00043126,             0.00043126
                     42,                0.00865,                      1,                      1,                0.55168,             0.00042419,             0.00042419,             0.00042419
                     43,                0.02033,                0.99515,                      1,                0.55636,             0.00041712,             0.00041712,             0.00041712
                     44,                0.01912,                0.99515,                      1,                0.55766,             0.00041005,             0.00041005,             0.00041005
                     45,                0.03332,                0.99029,                      1,                0.56352,             0.00040298,             0.00040298,             0.00040298
                     46,                0.00595,                0.99515,                      1,                0.55741,             0.00039591,             0.00039591,             0.00039591
                     47,                0.00985,                0.99029,                      1,                0.56155,             0.00038884,             0.00038884,             0.00038884
                     48,                0.01336,                0.99515,                      1,                0.55609,             0.00038178,             0.00038178,             0.00038178
                     49,                0.01531,                      1,                      1,                0.55307,             0.00037471,             0.00037471,             0.00037471
                     50,                0.01224,                      1,                      1,                0.55209,             0.00036764,             0.00036764,             0.00036764
                     51,                0.00745,                      1,                      1,                0.55289,             0.00036057,             0.00036057,             0.00036057
                     52,                0.00318,                      1,                      1,                0.55198,              0.0003535,              0.0003535,              0.0003535
                     53,                0.00794,                0.99515,                      1,                0.55442,             0.00034643,             0.00034643,             0.00034643
                     54,                0.00398,                0.99515,                      1,                0.55529,             0.00033936,             0.00033936,             0.00033936
                     55,                0.00728,                0.99515,                      1,                0.55461,              0.0003323,              0.0003323,              0.0003323
                     56,                0.00319,                      1,                      1,                  0.552,             0.00032523,             0.00032523,             0.00032523
                     57,                0.00296,                0.99515,                      1,                0.55461,             0.00031816,             0.00031816,             0.00031816
                     58,                0.00116,                0.99515,                      1,                0.55586,             0.00031109,             0.00031109,             0.00031109
                     59,                0.00201,                      1,                      1,                0.55336,             0.00030402,             0.00030402,             0.00030402
                     60,                0.00608,                0.99515,                      1,                 0.5567,             0.00029695,             0.00029695,             0.00029695
                     61,                0.00242,                      1,                      1,                0.55169,             0.00028988,             0.00028988,             0.00028988
                     62,                0.00102,                      1,                      1,                0.55153,             0.00028282,             0.00028282,             0.00028282
                     63,                0.00937,                      1,                      1,                0.55163,             0.00027575,             0.00027575,             0.00027575
                     64,                0.00314,                      1,                      1,                0.55212,             0.00026868,             0.00026868,             0.00026868
                     65,                0.00268,                      1,                      1,                0.55154,             0.00026161,             0.00026161,             0.00026161
                     66,                0.00355,                      1,                      1,                 0.5522,             0.00025454,             0.00025454,             0.00025454
                     67,                0.00092,                      1,                      1,                0.55154,             0.00024747,             0.00024747,             0.00024747
                     68,                0.00401,                      1,                      1,                0.55157,              0.0002404,              0.0002404,              0.0002404
                     69,                0.00095,                      1,                      1,                0.55177,             0.00023334,             0.00023334,             0.00023334
                     70,                0.00644,                0.99029,                      1,                0.56033,             0.00022627,             0.00022627,             0.00022627
                     71,                0.00099,                0.99029,                      1,                0.55941,              0.0002192,              0.0002192,              0.0002192
                     72,                0.00065,                0.99515,                      1,                0.55602,             0.00021213,             0.00021213,             0.00021213
                     73,                0.00042,                0.99515,                      1,                0.55645,             0.00020506,             0.00020506,             0.00020506
                     74,                0.00061,                0.99515,                      1,                0.55551,             0.00019799,             0.00019799,             0.00019799
                     75,                0.00772,                0.99515,                      1,                0.55588,             0.00019092,             0.00019092,             0.00019092
                     76,                0.00247,                      1,                      1,                0.55272,             0.00018385,             0.00018385,             0.00018385
                     77,                0.00477,                0.99029,                      1,                0.55753,             0.00017679,             0.00017679,             0.00017679
                     78,                0.00506,                0.99029,                      1,                 0.5575,             0.00016972,             0.00016972,             0.00016972
                     79,                0.00124,                0.99515,                      1,                0.55813,             0.00016265,             0.00016265,             0.00016265
                     80,                0.00058,                      1,                      1,                0.55313,             0.00015558,             0.00015558,             0.00015558
                     81,                0.00303,                      1,                      1,                0.55323,             0.00014851,             0.00014851,             0.00014851
                     82,                0.00114,                      1,                      1,                0.55179,             0.00014144,             0.00014144,             0.00014144
                     83,                0.00514,                      1,                      1,                0.55153,             0.00013437,             0.00013437,             0.00013437
                     84,                0.00247,                      1,                      1,                0.55152,             0.00012731,             0.00012731,             0.00012731
                     85,                0.00875,                0.99515,                      1,                0.55581,             0.00012024,             0.00012024,             0.00012024
                     86,                0.00128,                      1,                      1,                0.55167,             0.00011317,             0.00011317,             0.00011317
                     87,                0.00487,                      1,                      1,                0.55285,              0.0001061,              0.0001061,              0.0001061
                     88,                0.00163,                      1,                      1,                0.55192,             9.9032e-05,             9.9032e-05,             9.9032e-05
                     89,                0.00607,                      1,                      1,                0.55244,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     90,                0.00371,                      1,                      1,                0.55324,             8.4895e-05,             8.4895e-05,             8.4895e-05
                     91,                0.00051,                0.99515,                      1,                0.55495,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     92,                0.00231,                      1,                      1,                0.55228,             7.0757e-05,             7.0757e-05,             7.0757e-05
                     93,                0.00043,                      1,                      1,                0.55172,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     94,                0.00032,                      1,                      1,                 0.5516,              5.662e-05,              5.662e-05,              5.662e-05
                     95,                0.00096,                      1,                      1,                0.55164,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     96,                0.00079,                      1,                      1,                0.55173,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     97,                0.00369,                      1,                      1,                0.55182,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     98,                0.00058,                      1,                      1,                0.55166,             2.8346e-05,             2.8346e-05,             2.8346e-05
                     99,                0.00059,                      1,                      1,                0.55229,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    100,                0.01071,                      1,                      1,                0.55182,             1.4209e-05,             1.4209e-05,             1.4209e-05
